Profile: Function timing, sorted by time
Date:    Sun Jul 28 12:57:49 2002


Programmstatistik
-----------------
    2002 Jul 28 12:30 Befehlszeile: "C:\code\GePhex\bin\engine2"  
    Gesamtzeit: 257620,194 Millisekunden
    Zeit ausserhalb von Funktionen: 102,732 Millisekunden
    Aufruftiefe: 30
    Gesamtfunktionen: 4619
    Gesamtaufrufe: 55996062
    Funktionsabdeckung: 65,3%
    Berechneter Verwaltungsaufwand: 6
    Durchschnittlicher Aufwand: 6

Modulstatistik fuer engine2.exe
-------------------------------
    Zeit innerhalb des Moduls: 257517,462 Millisekunden
    100,0% Prozent im Modul
    4619 Funktionen im Modul
    Aufrufe im Modul: 55996062 
    Modulfunktionsabdeckung: 65,3%

        Funkt.        Funkt.+Unterfkt.      Anzahl
        Zeit     %         Zeit       %          Aufrufe  Funktion
------------------------------------------------------------------
   15625,492   6,1    15625,492   6,1    29974 CModule::update(void) (c_module.obj)
    9347,587   3,6     9347,587   3,6   738694 operator delete(void *) (delop.obj)
    5154,531   2,0   193542,684  75,2    10928 renderer::RuntimeSystem::update(class IControlValueReceiver *,class IModuleStatisticsReceiver *) (runtimesystem.obj)
    4949,588   1,9     5094,568   2,0    24515 net::TCPSocket::send(class utils::Buffer const &) (tcpsocket.obj)
    4938,320   1,9   256825,768  99,7        1 engine::Scheduler::run(void) (scheduler.obj)
    4138,273   1,6    16012,022   6,2   142056 CModule::setData(class IInput const *) (c_module.obj)
    3972,593   1,5    14857,344   5,8    10928 renderer::ModuleControlBlock::avgTime(void) (runtimesystem.obj)
    3893,934   1,5     3893,934   1,5   413914 std::_Allocate(int,char *) (main.obj)
    2925,254   1,1     4338,981   1,7   778593 std::list<class IInput *,class std::allocator<class IInput *> >::iterator::iterator(struct list<class IInput *,class std::allocator<class IInput *> >::iterator::_Node *) (c_module.obj)
    2887,683   1,1    10819,503   4,2   158451 std::list<class IInput *,class std::allocator<class IInput *> >::erase(class std::list<class IInput *,class std::allocator<class IInput *> >::iterator) (c_output.obj)
    2751,673   1,1     2751,673   1,1  1543530 std::list<class IInput *,class std::allocator<class IInput *> >::_Acc::_Next(struct std::list<class IInput *,class std::allocator<class IInput *> >::_Node *) (c_module.obj)
    2330,779   0,9     3411,061   1,3   516261 utils::AutoPtr<class IInput>::operator->(void) (c_module.obj)
    2286,264   0,9     9968,255   3,9   158451 std::list<class IInput *,class std::allocator<class IInput *> >::insert(class std::list<class IInput *,class std::allocator<class IInput *> >::iterator,class IInput * const &) (c_module.obj)
    2226,400   0,9     3594,373   1,4   374232 utils::AutoPtr<class IInput>::decRefCount(void) (c_module.obj)
    2202,070   0,9     2202,070   0,9  1371420 std::list<class IInput *,class std::allocator<class IInput *> >::_Acc::_Prev(struct std::list<class IInput *,class std::allocator<class IInput *> >::_Node *) (c_module.obj)
    2180,273   0,8     2180,273   0,8   743067 std::vector<class utils::AutoPtr<class IInput>,class std::allocator<class utils::AutoPtr<class IInput> > >::end(void) (c_module.obj)
    1951,868   0,8     2745,219   1,1   436920 std::list<int,class std::allocator<int> >::const_iterator::operator*(void) (model.obj)
    1906,621   0,7    33025,946  12,8    87420 SimpleStrategy::dependencies(class std::list<class IInput *,class std::allocator<class IInput *> > &,void *,class std::vector<class utils::AutoPtr<class IInput>,class std::allocator<class utils::AutoPtr<class IInput> > > &,class CModuleVTable const &) (c_module.obj)
    1878,898   0,7     2919,254   1,1   448032 std::list<class IInput *,class std::allocator<class IInput *> >::iterator::operator!=(class std::list<class IInput *,class std::allocator<class IInput *> >::iterator const &) (c_output.obj)
    1866,867   0,7     1866,867   0,7  1099282 std::_Lockit::_Lockit(void) (xlock.obj)
    1828,533   0,7     2645,826   1,0   458961 std::list<class IInput *,class std::allocator<class IInput *> >::iterator::operator++(void) (c_output.obj)
    1788,855   0,7     2661,388   1,0   436920 std::list<int,class std::allocator<int> >::const_iterator::operator++(void) (model.obj)
    1690,010   0,7     9225,376   3,6    82338 std::operator<<(class std::basic_ostream<char,struct std::char_traits<char> > &,char const *) (main.obj)
    1685,077   0,7     4112,811   1,6   456228 std::list<class IInput *,class std::allocator<class IInput *> >::end(void) (c_module.obj)
    1679,000   0,7     2767,281   1,1   583635 std::ios_base::good(void) (main.obj)
    1671,445   0,6     1671,445   0,6  1099282 std::_Lockit::~_Lockit(void) (xlock.obj)
    1665,189   0,6     2544,020   1,0   374216 utils::AutoPtr<class IInput>::AutoPtr<class IInput>(class AutoPtr<class IInput>::AutoPtr<class IInput> const &) (c_module.obj)
    1664,195   0,6     5838,969   2,3   262263 std::list<class IInput *,class std::allocator<class IInput *> >::_Buynode(struct std::list<class IInput *,class std::allocator<class IInput *> >::_Node *,struct std::list<class IInput *,class std::allocator<class IInput *> >::_Node *) (c_module.obj)
    1654,417   0,6     3293,680   1,3    74053 utils::Buffer::operator+=(class utils::Buffer const &) (buffer.obj)
    1577,742   0,6     2664,270   1,0   447848 std::list<int,class std::allocator<int> >::end(void) (graphnode.obj)
